,Company Name
0,Alaska Airlines
1,Allegiant Air
2,"Allegiant Air, Breeze Airways"
3,"Allegiant Air, Frontier"
4,"Allegiant Air, Southern / Mokulele"
5,"Allegiant Air, Spirit Airlines"
6,"Allegiant Air, Sun Country Air"
7,American Airlines
8,Amtrak
9,"Avianca, Frontier"
10,"Avianca, JetBlue"
11,"Avianca, Spirit Airlines"
12,"Breeze Airways, Frontier"
13,"Breeze Airways, Spirit Airlines"
14,Delta
15,Flair Airlines
16,"Flair Airlines, Porter Airlines"
17,Hawaiian Airlines
18,JetBlue
19,Multiple airlines
20,Scandinavian Airlines
21,"Southern / Mokulele, Frontier"
22,"Southern / Mokulele, Spirit Airlines"
23,"Southern / Mokulele, Sun Country Air"
24,Spirit Airlines
25,"Spirit Airlines, Avianca"
26,"Spirit Airlines, Breeze Airways"
27,"Spirit Airlines, British Airways"
28,"Spirit Airlines, Caribbean Airlines"
29,"Spirit Airlines, Contour"
30,"Spirit Airlines, Flair Airlines"
31,"Spirit Airlines, Frontier"
32,"Spirit Airlines, Hawaiian Airlines"
33,"Spirit Airlines, Southern / Mokulele"
34,"Spirit Airlines, Sun Country Air"
35,"Spirit Airlines, Volaris"
36,"Spirit Airlines, Volaris Costa Rica"
37,Sun Country Air
38,"Sun Country Air, Frontier"
39,"Sun Country Air, Hawaiian Airlines"
40,"Sun Country Air, Southern / Mokulele"
41,"Sun Country Air, Spirit Airlines"
42,Turkish Airlines
43,Undisclosed Carrier
44,United Airlines
45,"United Airlines, Alaska Airlines"
46,"United Airlines, Cape Air"
47,"United Airlines, Delta"
48,"United Airlines, Hawaiian Airlines"
49,"VivaAerobus, Frontier"
50,Volaris
51,Volaris Costa Rica
52,"Volaris Costa Rica, Avianca"
53,"Volaris Costa Rica, Frontier"
54,"Volaris El Salvador, Frontier"
55,"Volaris El Salvador, Spirit Airlines"
